Name,Parent Name,Cost Type,Status,Cost Code,Cost Title,Quantity,Unit cost ex. tax,Unit tax,Unit cost inc. tax,Unit,Builder Cost,Markup %,Markup $,Unit price ex. tax,Unit price tax,Unit price inc. tax,Amount,Description
Ensuite Hand Towel Holder,Ensuite,ALLOWANCE,Incomplete,241,PC Items,0,60,6,66,Ea,0,20,0,0,0,0,0,
Ensuite Shaving Cabinet,Ensuite,ALLOWANCE,Incomplete,241,PC Items,0,600,60,660,Ea,0,20,0,0,0,0,0,
Ensuite Mirror,Ensuite,ALLOWANCE,Incomplete,241,PC Items,0,300,30,330,Ea,0,20,0,0,0,0,0,
Bathroom 2,PC Items,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Bath 2 Vanity,Bathroom 2,ALLOWANCE,Incomplete,241,PC Items,0,2500,250,2750,Ea,0,20,0,0,0,0,0,
Bath 2 Vanity Basin,Bathroom 2,ALLOWANCE,Incomplete,241,PC Items,0,300,30,330,Ea,0,20,0,0,0,0,0,
Bath 2 Vanity Taps,Bathroom 2,ALLOWANCE,Incomplete,241,PC Items,0,200,20,220,Ea,0,20,0,0,0,0,0,
Bath 2 Vanity Waste,Bathroom 2,ALLOWANCE,Incomplete,241,PC Items,0,40,4,44,Ea,0,20,0,0,0,0,0,
Bath 2 Shower Mixer,Bathroom 2,ALLOWANCE,Incomplete,241,PC Items,0,200,20,220,Ea,0,20,0,0,0,0,0,
Bath 2 Shower Head,Bathroom 2,ALLOWANCE,Incomplete,241,PC Items,0,200,20,220,Ea,0,20,0,0,0,0,0,
Bath 2 Shower Arm,Bathroom 2,ALLOWANCE,Incomplete,241,PC Items,0,200,20,220,Ea,0,20,0,0,0,0,0,
Bath 2 Shower Rail,Bathroom 2,ALLOWANCE,Incomplete,241,PC Items,0,700,70,770,Ea,0,20,0,0,0,0,0,
Bath 2 Handheld Shower Head,Bathroom 2,ALLOWANCE,Incomplete,241,PC Items,0,300,30,330,Ea,0,20,0,0,0,0,0,
Bath 2 Inset Bath,Bathroom 2,ALLOWANCE,Incomplete,241,PC Items,0,400,40,440,Ea,0,20,0,0,0,0,0,
Bath 2 Freestanding Bath,Bathroom 2,ALLOWANCE,Incomplete,241,PC Items,0,1800,180,1980,Ea,0,20,0,0,0,0,0,
Bath 2 Bath Taps,Bathroom 2,ALLOWANCE,Incomplete,241,PC Items,0,200,20,220,Ea,0,20,0,0,0,0,0,
Bath 2 Bath Waste,Bathroom 2,ALLOWANCE,Incomplete,241,PC Items,0,80,8,88,Ea,0,20,0,0,0,0,0,
Bath 2 Heated Towel Rail,Bathroom 2,ALLOWANCE,Incomplete,241,PC Items,0,900,90,990,Ea,0,20,0,0,0,0,0,
Bath 2 Towel Rail,Bathroom 2,ALLOWANCE,Incomplete,241,PC Items,0,150,15,165,Ea,0,20,0,0,0,0,0,
Bath 2 Robe Hooks,Bathroom 2,ALLOWANCE,Incomplete,241,PC Items,0,30,3,33,Ea,0,20,0,0,0,0,0,
Bath 2 Hand Towel Holder,Bathroom 2,ALLOWANCE,Incomplete,241,PC Items,0,60,6,66,Ea,0,20,0,0,0,0,0,
Bath 2 Shaving Cabinet,Bathroom 2,ALLOWANCE,Incomplete,241,PC Items,0,600,60,660,Ea,0,20,0,0,0,0,0,
Bath 2 Mirror,Bathroom 2,ALLOWANCE,Incomplete,241,PC Items,0,300,30,330,Ea,0,20,0,0,0,0,0,
General,PC Items,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Toilet Roll Holder,General,ALLOWANCE,Incomplete,241,PC Items,0,60,6,66,Ea,0,20,0,0,0,0,0,
Toilet Suite,General,ALLOWANCE,Incomplete,241,PC Items,0,600,60,660,Ea,0,20,0,0,0,0,0,
Kitchen Tap,General,ALLOWANCE,Incomplete,241,PC Items,0,500,50,550,Ea,0,20,0,0,0,0,0,
Kitchen Sink,General,ALLOWANCE,Incomplete,241,PC Items,0,700,70,770,Ea,0,20,0,0,0,0,0,
Kitchen Sink Waste,General,ALLOWANCE,Incomplete,241,PC Items,0,60,6,66,Ea,0,20,0,0,0,0,0,
Laundry Tap,General,ALLOWANCE,Incomplete,241,PC Items,0,500,50,550,Ea,0,20,0,0,0,0,0,
Laundry Sink,General,ALLOWANCE,Incomplete,241,PC Items,0,600,60,660,Ea,0,20,0,0,0,0,0,
Laundry Sink Waste,General,ALLOWANCE,Incomplete,241,PC Items,0,60,6,66,Ea,0,20,0,0,0,0,0,
Butlers Tap,General,ALLOWANCE,Incomplete,241,PC Items,0,500,50,550,Ea,0,20,0,0,0,0,0,
Butlers Sink,General,ALLOWANCE,Incomplete,241,PC Items,0,500,50,550,Ea,0,20,0,0,0,0,0,
Butlers Sink Waste,General,ALLOWANCE,Incomplete,241,PC Items,0,60,6,66,Ea,0,20,0,0,0,0,0,
Zip Tap,General,ALLOWANCE,Incomplete,241,PC Items,0,0,0,0,Ea,0,20,0,0,0,0,0,
WC Taps,General,ALLOWANCE,Incomplete,241,PC Items,0,200,20,220,Ea,0,20,0,0,0,0,0,
WC Basin,General,ALLOWANCE,Incomplete,241,PC Items,0,450,45,495,Ea,0,20,0,0,0,0,0,
Front Door Hardware,General,ALLOWANCE,Incomplete,241,PC Items,0,400,40,440,Ea,0,20,0,0,0,0,0,
Door Handles,General,ALLOWANCE,Incomplete,241,PC Items,0,70,7,77,Ea,0,20,0,0,0,0,0,
CSD Door Handles,General,ALLOWANCE,Incomplete,241,PC Items,0,70,7,77,Ea,0,20,0,0,0,0,0,
Appliances,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,"Allowances for supply of Appliances
"
Cooktop,Appliances,ALLOWANCE,Incomplete,243,Appliances,0,2500,250,2750,unit,0,20,0,0,0,0,0,
Oven,Appliances,ALLOWANCE,Incomplete,243,Appliances,0,2500,250,2750,unit,0,20,0,0,0,0,0,
Freestanding Cooker,Appliances,ALLOWANCE,Incomplete,243,Appliances,0,5000,500,5500,unit,0,20,0,0,0,0,0,
Rangehood,Appliances,ALLOWANCE,Incomplete,243,Appliances,0,1200,120,1320,unit,0,20,0,0,0,0,0,
Dishwasher,Appliances,ALLOWANCE,Incomplete,243,Appliances,0,1500,150,1650,unit,0,20,0,0,0,0,0,
Fridge,Appliances,MATERIAL,Incomplete,243,Appliances,0,0,0,0,unit,0,20,0,0,0,0,0,
BBQ,Appliances,MATERIAL,Incomplete,243,Appliances,0,0,0,0,unit,0,20,0,0,0,0,0,
Washing Machine,Appliances,MATERIAL,Incomplete,243,Appliances,0,0,0,0,unit,0,20,0,0,0,0,0,
Dryer,Appliances,MATERIAL,Incomplete,243,Appliances,0,0,0,0,unit,0,20,0,0,0,0,0,
Fireplace,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Fireplace Supply & Install,Fireplace,LABOUR,Incomplete,325,Electrical - HVAC,0,0,0,0,unit,0,20,0,0,0,0,0,
Internal Feature Items,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
LABOUR - Internal Feature Items,Internal Feature Items,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
External Feature Items,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
LABOUR - External Feature Work,External Feature Items,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
External Fixtures,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Clothesline Supply,External Fixtures,MATERIAL,Incomplete,240,Exterior Works,0,0,0,0,ea,0,20,0,0,0,0,0,
Clothesline Install,External Fixtures,MATERIAL,Incomplete,240,Exterior Works,0,0,0,0,hour,0,20,0,0,0,0,0,
Letterbox Supply,External Fixtures,MATERIAL,Incomplete,240,Exterior Works,0,0,0,0,ea,0,20,0,0,0,0,0,
Letterbox Install,External Fixtures,MATERIAL,Incomplete,240,Exterior Works,0,0,0,0,hour,0,20,0,0,0,0,0,
Street Name/Number,External Fixtures,MATERIAL,Incomplete,240,Exterior Works,0,0,0,0,ea,0,20,0,0,0,0,0,
Street Name/Number Install,External Fixtures,MATERIAL,Incomplete,240,Exterior Works,0,0,0,0,hour,0,20,0,0,0,0,0,
Garage Door,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Garage Door,Garage Door,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
Window Furnishings,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,"No allowance for WIndow Furnishings
"
Blinds & Curtains Supply & Install,Window Furnishings,MATERIAL,Incomplete,349,Window Furnishings,1,0,0,0,unit,0,20,0,0,0,0,0,
Cleaning,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,"Professional builders clean at completion of all works. This is a builders clean only and includes the following; vacuuming, mopping, sweeping and wiping down of all surfaces.
"
Interior Builders Clean,Cleaning,MATERIAL,Incomplete,350,Cleaning,0,0,0,0,unit,0,20,0,0,0,0,0,
Cleaning Windows,Cleaning,MATERIAL,Incomplete,350,Cleaning,0,0,0,0,unit,0,20,0,0,0,0,0,
