Name,Parent Name,Cost Type,Status,Cost Code,Cost Title,Quantity,Unit cost ex. tax,Unit tax,Unit cost inc. tax,Unit,Builder Cost,Markup %,Markup $,Unit price ex. tax,Unit price tax,Unit price inc. tax,Amount,Description
Weep Holes,Brickwork,MATERIAL,Incomplete,309,Brickwork,1,0,0,0,unit,0,20,0,0,0,0,0,
Acid Wash Face Brickwork,Brickwork,MATERIAL,Incomplete,309,Brickwork,1,0,0,0,unit,0,20,0,0,0,0,0,
Blockwork,Brickwork,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Blockwork,Blockwork,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
Block Supply,Blockwork,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,unit,0,20,0,0,0,0,0,
Block Labour,Blockwork,LABOUR,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
Corefill Labour,Blockwork,LABOUR,Incomplete,FLRT,Flat rate,0,0,0,0,unit,0,20,0,0,0,0,0,
Corefill Concrete,Blockwork,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,unit,0,20,0,0,0,0,0,
Reinforcing Steel,Blockwork,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,unit,0,20,0,0,0,0,0,
Structural Steel Supply,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Structural Steel Supply & Install Quote,Structural Steel Supply,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
Roofing - Metal,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Roofing Supply & install,Roofing - Metal,SUBCONTRACTOR,Incomplete,311,Roofing,0,0,0,0,ea,0,20,0,0,0,0,0,
Roof Install,Roofing - Metal,SUBCONTRACTOR,Incomplete,311,Roofing,0,0,0,0,ea,0,20,0,0,0,0,0,
Battening,Roofing - Metal,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,unit,0,20,0,0,0,0,0,
Metal Fascia,Roofing - Metal,MATERIAL,Incomplete,311,Roofing,1,0,0,0,Lm,0,20,0,0,0,0,0,
Metal Gutter,Roofing - Metal,MATERIAL,Incomplete,311,Roofing,1,0,0,0,Lm,0,20,0,0,0,0,0,
Metal Roofing,Roofing - Metal,MATERIAL,Incomplete,311,Roofing,1,0,0,0,unit,0,20,0,0,0,0,0,
Metal Fascia & Gutter Install,Roofing - Metal,MATERIAL,Incomplete,311,Roofing,1,0,0,0,unit,0,20,0,0,0,0,0,
Supply & Fit Guard Railfall,Roofing - Metal,MATERIAL,Incomplete,311,Roofing,1,0,0,0,unit,0,20,0,0,0,0,0,
Down Pipes Install,Roofing - Metal,MATERIAL,Incomplete,311,Roofing,1,0,0,0,unit,0,20,0,0,0,0,0,
Anticon Blanket,Roofing - Metal,MATERIAL,Incomplete,311,Roofing,1,0,0,0,unit,0,20,0,0,0,0,0,
Metal Roofing - Zanetto Builders,Roofing - Metal,MATERIAL,Incomplete,FLRT,Flat rate,0,81.82,8.182,90.002,m2,0,20,0,0,0,0,0,Colour XXX
Flashing & Capping - Wall / Roof Flashing - Custom 3 Fold,Roofing - Metal,MATERIAL,Incomplete,FLRT,Flat rate,0,15.7,1.57,17.27,Lm,0,20,0,0,0,0,0,Colour XXX
Fascia - Cemintel Barestone FC - External Panel 9 x 1200 x 2400mm,Roofing - Metal,MATERIAL,Incomplete,FLRT,Flat rate,0,271.98,27.198,299.178,Ea,0,20,0,0,0,0,0,
Box Gutter with Hangers C/B & Ply Support,Roofing - Metal,MATERIAL,Incomplete,FLRT,Flat rate,0,94.55,9.455,104.005,Lm,0,20,0,0,0,0,0,Colour XXX
Fascia - Colourbond,Roofing - Metal,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,Lm,0,20,0,0,0,0,0,Colour XXX
Gutters - Colourbond,Roofing - Metal,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,Ea,0,20,0,0,0,0,0,Colour XXX
Metal Roofing,Roofing - Metal,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,Ea,0,20,0,0,0,0,0,
Tile Roofing,Roofing - Metal,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,Ea,0,20,0,0,0,0,0,
Poly Carb Roofing,Roofing - Metal,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,Ea,0,20,0,0,0,0,0,
Roofing - Tile,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Roof Tiling,Roofing - Tile,MATERIAL,Incomplete,311,Roofing,1,0,0,0,unit,0,20,0,0,0,0,0,
Roof Tiles Labour,Roofing - Tile,MATERIAL,Incomplete,311,Roofing,1,0,0,0,unit,0,20,0,0,0,0,0,
Guard Rail Supply & Install,Roofing - Tile,MATERIAL,Incomplete,311,Roofing,1,0,0,0,unit,0,20,0,0,0,0,0,
Roof Tiles Supply,Roofing - Tile,MATERIAL,Incomplete,311,Roofing,1,0,0,0,unit,0,20,0,0,0,0,0,
Supply Supply,Roofing - Tile,MATERIAL,Incomplete,311,Roofing,1,0,0,0,unit,0,20,0,0,0,0,0,
Battens,Roofing - Tile,MATERIAL,Incomplete,311,Roofing,1,0,0,0,unit,0,20,0,0,0,0,0,
Plumbing,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Plumbing Quote,Plumbing,MATERIAL,Incomplete,316,Plumbing,1,0,0,0,unit,0,20,0,0,0,0,0,
Plumbing Materials,Plumbing,MATERIAL,Incomplete,316,Plumbing,1,0,0,0,unit,0,20,0,0,0,0,0,
Plumbing Disconnect,Plumbing,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Drainage Plumbing,Plumbing,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,"Dig in plumbing for drainage for House/Extension
Re-configure drainage plumbing for Bathroom
Re-configure drainage plumbing for Ensuite
"
Plumbing Rough In,Plumbing,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,"Complete Plumbing Rough In for the following rooms:
Kitchen
Butlers
Bath 1
Bath 2
Ensuite
Laundry
"
Plumbing Fit Off,Plumbing,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,"Complete Plumbing Fit Off for the following rooms:
Kitchen
Butlers
Bath 1
Bath 2
Ensuite
Laundry
"
Install Dishwasher,Plumbing Fit Off,SUBCONTRACTOR,Incomplete,316,Plumbing,0,0,0,0,unit,0,20,0,0,0,0,0,
Install washer and dryer to Laundry,Plumbing Fit Off,SUBCONTRACTOR,Incomplete,316,Plumbing,0,0,0,0,unit,0,20,0,0,0,0,0,
Install and commission kitchen appliances,Plumbing Fit Off,SUBCONTRACTOR,Incomplete,316,Plumbing,0,0,0,0,unit,0,20,0,0,0,0,0,
Stormwater,Plumbing,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,"Dig in &amp; install stormwater
Install Downpipes
Install rainwater tank
"
610 - Plumbing - Rainwater Tanks,Plumbing,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Quotation,610 - Plumbing - Rainwater Tanks,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,Ea,0,20,0,0,0,0,0,
"2 x 24,000 Litre Corrugated Poly Water - Style: Corrugated Colour: XXXXXXX",610 - Plumbing - Rainwater Tanks,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,Ea,0,20,0,0,0,0,0,
"10,000 Litre Galvanised Steel Fire Tank - Style: Corrugated Material: Galvanised",610 - Plumbing - Rainwater Tanks,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,Ea,0,20,0,0,0,0,0,
Base Materials & Sleeper Frame,610 - Plumbing - Rainwater Tanks,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,Ea,0,20,0,0,0,0,0,
HOT WATER HEAT PUMP - XXXX,Plumbing,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,Ea,0,20,0,0,0,0,0,
Electrical,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Electrical Quote,Electrical,MATERIAL,Incomplete,321,Electrical,1,0,0,0,unit,0,20,0,0,0,0,0,
Electrical Materials,Electrical,MATERIAL,Incomplete,321,Electrical,1,0,0,0,unit,0,20,0,0,0,0,0,
Electrical - Fixtures & Fittings,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Mechanical - HVAC,,GROUP,Incomplete,,,,,,,,9090.91,0,1818.18,,,,12000,
Air Conditioning Supply & Install,Mechanical - HVAC,MATERIAL,Incomplete,325,Electrical - HVAC,1,0,0,0,unit,0,20,0,0,0,0,0,"Supply &amp; install heating &amp; cooling to the following rooms:
"
Heating Supply & Install,Mechanical - HVAC,MATERIAL,Incomplete,325,Electrical - HVAC,1,0,0,0,unit,0,20,0,0,0,0,0,
Supply and install HVAC Allowance,Mechanical - HVAC,MATERIAL,Incomplete,FLRT,Flat rate,1,9090.91,909.091,10000.001,Ea,9090.91,20,1818.18,10909.09,1090.91,12000,12000,
HRV System (Including Electrical Connectcions/ Circuits) - Allowance per m2 (Based on Floor - Internal Area),Mechanical - HVAC,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,Ea,0,20,0,0,0,0,0,
HRV - Install,Mechanical - HVAC,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,Ea,0,20,0,0,0,0,0,"NOTE - HRV location subject to change, price variance TBC."
Fire Place - XXXX,Mechanical - HVAC,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,Ea,0,20,0,0,0,0,0,
Labour to Install Fire Place - XXXXX,Mechanical - HVAC,MATERIAL,Incomplete,FLRT,Flat rate,1,0,0,0,Ea,0,20,0,0,0,0,0,
Hearth,Mechanical - HVAC,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,Ea,0,20,0,0,0,0,0,
Services,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Security Install,Services,MATERIAL,Incomplete,325,Electrical - HVAC,1,0,0,0,unit,0,20,0,0,0,0,0,
Automation Supply & Install,Services,MATERIAL,Incomplete,325,Electrical - HVAC,1,0,0,0,unit,0,20,0,0,0,0,0,
Internal Lift,Services,MATERIAL,Incomplete,325,Electrical - HVAC,1,0,0,0,unit,0,20,0,0,0,0,0,
Insulation,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
LABOUR,Insulation,LABOUR,Incomplete,327,Insulation,0,75,7.5,82.5,Hours,0,20,0,0,0,0,0,
Earthwool R2.5 Wall Batts,Insulation,MATERIAL,Incomplete,327,Insulation,0,0,0,0,m2,0,20,0,0,0,0,0,
Earthwool R3.5 Ceiling Batts,Insulation,MATERIAL,Incomplete,327,Insulation,0,0,0,0,m2,0,20,0,0,0,0,0,
Plastering,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,"All plasterboard to be finished to a level 4 standard AS/NZS 2589:2017, 10mm plasterboard throughout. NOTE - no level 5 on walls, if required for wall lights TBC on site.
"
Quote Plaster Supply & Install,Plastering,SUBCONTRACTOR,Incomplete,328,Plaster,0,45,4.5,49.5,m2,0,20,0,0,0,0,0,"Supply &amp; install plasterboard to the following rooms:

Kitchen
Living
Dining
Bedrooms 1, 2, 3 &amp; 4
Laundry
Rumpus
Study

Cornice/square set
Deliver materials to site
WR plasterboard to bathroom ceilings
WR plaster to any walls with water points
Villaboard to all bathroom walls
"
Plaster to Skylights,Plastering,MATERIAL,Incomplete,FLRT,Flat rate,0,500,50,550,Ea,0,20,0,0,0,0,0,
Revel beads to windows and external doors,Plastering,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,Ea,0,20,0,0,0,0,0,
P50 shadow line to skirting,Plastering,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,Ea,0,20,0,0,0,0,0,
Plaster Materials,Plastering,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Plastamasta Delivery - m3,Plaster Materials,MATERIAL,Incomplete,328,Plaster,0,0,0,0,m2,0,20,0,0,0,0,0,
Plastamasta Delivery,Plaster Materials,MATERIAL,Incomplete,328,Plaster,0,0,0,0,ea,0,20,0,0,0,0,0,
Stud Adhesive,Plaster Materials,MATERIAL,Incomplete,328,Plaster,0,30,3,33,ea,0,20,0,0,0,0,0,
Rondo Furring Channel - Ea,Plaster Materials,MATERIAL,Incomplete,328,Plaster,0,2,0.2,2.2,ea,0,20,0,0,0,0,0,
Rondo Furring Channel - Lm,Plaster Materials,MATERIAL,Incomplete,328,Plaster,0,11,1.1,12.1,Lm,0,20,0,0,0,0,0,
P50,Plaster Materials,MATERIAL,Incomplete,328,Plaster,0,0,0,0,Lm,0,20,0,0,0,0,0,
Collated Plasterboard Screws,Plaster Materials,MATERIAL,Incomplete,328,Plaster,0,20,2,22,ea,0,20,0,0,0,0,0,
Cornice 2,Plaster Materials,MATERIAL,Incomplete,328,Plaster,0,0,0,0,Lm,0,20,0,0,0,0,0,
Cornice,Plaster Materials,MATERIAL,Incomplete,328,Plaster,0,4,0.4,4.4,Lm,0,20,0,0,0,0,0,
6mm Villaboard,Plaster Materials,MATERIAL,Incomplete,328,Plaster,0,10.25,1.025,11.275,m2,0,20,0,0,0,0,0,
10mm Plasterboard WR m2,Plaster Materials,MATERIAL,Incomplete,328,Plaster,0,10.19,1.019,11.209,m2,0,20,0,0,0,0,0,
10mm Plasterboard Ceiling 600 m2,Plaster Materials,MATERIAL,Incomplete,328,Plaster,0,7.27,0.727,7.997,m2,0,20,0,0,0,0,0,
10mm Plasterboard m2,Plaster Materials,MATERIAL,Incomplete,328,Plaster,0,5.95,0.595,6.545,m2,0,20,0,0,0,0,0,
Rendering,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Render Internal Supply & Install,Rendering,SUBCONTRACTOR,Incomplete,339,Render,0,0,0,0,ea,0,20,0,0,0,0,0,
Render External Supply & Install,Rendering,SUBCONTRACTOR,Incomplete,339,Render,0,0,0,0,ea,0,20,0,0,0,0,0,
Waterproofing,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,"Supply &amp; install waterproofing materials
Full floor for all bathrooms &amp; wet areas
Full height for walls in all shower recesses
Waterproof up to all water points cover by tiles
Second waterproofing coat over top of tile screed
"
Waterproofing - Supply & Install Under Screed,Waterproofing,MATERIAL,Incomplete,FLRT,Flat rate,0,80,8,88,unit,0,20,0,0,0,0,0,
Waterproofing - Supply & Install Over Screed,Waterproofing,MATERIAL,Incomplete,FLRT,Flat rate,0,60,6,66,unit,0,20,0,0,0,0,0,
Quote - Waterproofing Supply & Install,Waterproofing,SUBCONTRACTOR,Not Relevant,336,Waterproofing,0,0,0,0,ea,0,20,0,0,0,0,0,
In-House Waterproofing,Waterproofing,GROUP,Not Relevant,,,,,,,,0,0,0,,,,0,
Apprentice Labour,In-House Waterproofing,LABOUR,Not Relevant,336,Waterproofing,0,320,32,352,day,0,20,0,0,0,0,0,
LABOUR - Waterproofing,In-House Waterproofing,LABOUR,Not Relevant,336,Waterproofing,0,75,7.5,82.5,Hours,0,20,0,0,0,0,0,
Gripset 38FC 15L,In-House Waterproofing,MATERIAL,Not Relevant,336,Waterproofing,0,135,13.5,148.5,ea,0,20,0,0,0,0,0,
Butyl Tape,In-House Waterproofing,MATERIAL,Not Relevant,336,Waterproofing,0,0,0,0,ea,0,20,0,0,0,0,0,
Tap Penetrations,In-House Waterproofing,MATERIAL,Not Relevant,336,Waterproofing,0,5,0.5,5.5,ea,0,20,0,0,0,0,0,
Waterproofing Over Screed,In-House Waterproofing,MATERIAL,Not Relevant,336,Waterproofing,0,70,7,77,hour,0,20,0,0,0,0,0,
Waterproofing of Balcony/Deck,In-House Waterproofing,SUBCONTRACTOR,Not Relevant,336,Waterproofing,0,0,0,0,ea,0,20,0,0,0,0,0,
Tiling - Supply,,GROUP,Incomplete,,,,,,,,0,0,0,,,,0,
Sand,Tiling - Supply,MATERIAL,Incomplete,337,Tiling Supply,0,30,3,33,ea,0,20,0,0,0,0,0,
Cement Bag,Tiling - Supply,MATERIAL,Incomplete,337,Tiling Supply,0,9,0.9,9.9,ea,0,20,0,0,0,0,0,
Tile Mesh - Ea,Tiling - Supply,MATERIAL,Incomplete,337,Tiling Supply,0,15,1.5,16.5,ea,0,20,0,0,0,0,0,
Tile Mesh - m2,Tiling - Supply,MATERIAL,Incomplete,337,Tiling Supply,0,21.6,2.16,23.76,m2,0,20,0,0,0,0,0,
Bath 1 Floor Tiles - Supply,Tiling - Supply,ALLOWANCE,Incomplete,337,Tiling Supply,0,60,6,66,m2,0,20,0,0,0,0,0,
Bath 1 Wall Tiles - Supply,Tiling - Supply,ALLOWANCE,Incomplete,337,Tiling Supply,0,60,6,66,m2,0,20,0,0,0,0,0,
Bath 1 Feature Tiles,Tiling - Supply,ALLOWANCE,Incomplete,337,Tiling Supply,0,60,6,66,m2,0,20,0,0,0,0,0,
Ensuite Floor Tiles - Supply,Tiling - Supply,ALLOWANCE,Incomplete,337,Tiling Supply,0,60,6,66,m2,0,20,0,0,0,0,0,
Ensuite Wall Tiles - Supply,Tiling - Supply,ALLOWANCE,Incomplete,337,Tiling Supply,0,60,6,66,m2,0,20,0,0,0,0,0,
Ensuite Feature Tiles,Tiling - Supply,ALLOWANCE,Incomplete,337,Tiling Supply,0,100,10,110,unit,0,20,0,0,0,0,0,
Bath 2 Floor Tiles,Tiling - Supply,ALLOWANCE,Incomplete,337,Tiling Supply,0,60,6,66,unit,0,20,0,0,0,0,0,
Bath 2 Wall Tiles,Tiling - Supply,ALLOWANCE,Incomplete,337,Tiling Supply,0,60,6,66,unit,0,20,0,0,0,0,0,
Bath 2 Feature Tiles,Tiling - Supply,ALLOWANCE,Incomplete,337,Tiling Supply,0,100,10,110,unit,0,20,0,0,0,0,0,
Laundry Floor Tiles,Tiling - Supply,MATERIAL,Incomplete,FLRT,Flat rate,0,60,6,66,unit,0,20,0,0,0,0,0,
Laundry Splashback Tiles,Tiling - Supply,ALLOWANCE,Incomplete,337,Tiling Supply,0,100,10,110,m2,0,20,0,0,0,0,0,
WC Floor Tiles,Tiling - Supply,MATERIAL,Incomplete,FLRT,Flat rate,0,60,6,66,unit,0,20,0,0,0,0,0,
WC Wall Tiles,Tiling - Supply,MATERIAL,Incomplete,FLRT,Flat rate,0,0,0,0,unit,0,20,0,0,0,0,0,
Kitchen Splashback Tiles,Tiling - Supply,ALLOWANCE,Incomplete,337,Tiling Supply,0,100,10,110,m2,0,20,0,0,0,0,0,
Tile Trim,Tiling - Supply,MATERIAL,Incomplete,337,Tiling Supply,0,20,2,22,ea,0,20,0,0,0,0,0,
Tile Clips,Tiling - Supply,MATERIAL,Incomplete,337,Tiling Supply,0,50,5,55,ea,0,20,0,0,0,0,0,
Primer - Ardex Multiprime 4L,Tiling - Supply,MATERIAL,Incomplete,337,Tiling Supply,0,60,6,66,ea,0,20,0,0,0,0,0,
Ardex SE Silicone,Tiling - Supply,MATERIAL,Incomplete,337,Tiling Supply,0,18,1.8,19.8,ea,0,20,0,0,0,0,0,
Tile Glue - Gripset C-Lite,Tiling - Supply,MATERIAL,Incomplete,337,Tiling Supply,0,28,2.8,30.8,ea,0,20,0,0,0,0,0,
Grout - Ardex 5kg,Tiling - Supply,MATERIAL,Incomplete,337,Tiling Supply,0,25,2.5,27.5,ea,0,20,0,0,0,0,0,
Sealer,Tiling - Supply,MATERIAL,Incomplete,337,Tiling Supply,0,0,0,0,ea,0,20,0,0,0,0,0,
Sealing Labour,Tiling - Supply,MATERIAL,Incomplete,337,Tiling Supply,0,70,7,77,hour,0,20,0,0,0,0,0,
Tiling Delivery,Tiling - Supply,FEE,Incomplete,337,Tiling Supply,0,150,15,165,ea,0,20,0,0,0,0,0,
Employee Tile Delivery,Tiling - Supply,LABOUR,Incomplete,337,Tiling Supply,0,0,0,0,unit,0,20,0,0,0,0,0,
Tile Insert Waste,Tiling - Supply,ALLOWANCE,Incomplete,241,PC Items,0,60,6,66,unit,0,20,0,0,0,0,0,
Strip Drain,Tiling - Supply,ALLOWANCE,Incomplete,241,PC Items,0,300,30,330,unit,0,20,0,0,0,0,0,
Tiling Sealing,Tiling - Supply,MATERIAL,Incomplete,337,Tiling Supply,0,0,0,0,ea,0,20,0,0,0,0,0,"No allowance for tile sealing
"
